source_name,source_link,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,submitted_date
dnaindia,http://www.dnaindia.com/india/report_j-and-k-highway-closed-for-traffic-for-second-day-due-to-landslides_1508148,2011-02-13 00:00:00,"Batote-Doda-Kishtwar road, at Jathi(?) and Drabshalla, Jammu and Kashmir","The Batote-Doda-Kishtwar road was also blocked for traffic due to landslide at Jathi and Drabshalla area near Jammu for the second day today, he said.  Border Roads Organisation personnel are working to clear the landslide and repair the road washed away by flashfloods, he said.  ...  Jammu-Srinagar National Highway, connecting Kashmir Valley to the outside world, remained closed for traffic for the second consecutive day following landslides at Panthal.  ""The highway is closed for traffic. There have been landslides at Panthal,"" an official of the traffic control room said in Srinagar, adding it was unclear when the road would be open for traffic.","Batote-Doda-Kishtwar road, at Jathi(?) and Drabshalla, Jammu and Kashmir",5km,landslide,snowfall_snowmelt,medium,unknown,0.0,,33.1804,75.8101,India,Jammu and Kashmir,Shandero,2014-09-10 20:12:01
himachal.us,http://himachal.us/2010/09/22/heavy-rains-damage-roads-in-himachal-alert-sounded-in-kinnaur/22231/news/ravinder,2010-09-19 00:00:00,"Pulbhal(?)-Solan rd, Himachal Pradesh","(posted 9/22 but may cover events from past weeks)A police spokesman said that traffic on the Shimla- Kalka highway was disrupted near Solan. The beaten track of the Theog-Kotkhai-Jubbal road was blocked at several places because of landslides or traffic jams and the Chopal road was also blocked by landslides – disrupting marketing operations of apples.  Elsewhere, the Karsog-Mandi road, Karsog-Rampur road, Kasauli-Parwanoo road, Kumarhatti-Nahan road, Pulbhal-Solan road, Rajgarh-Habban road and several others blocked.","Pulbhal(?)-Solan rd, Himachal Pradesh",25km,landslide,downpour,medium,unknown,0.0,,30.9035,77.0965,India,Himachal Pradesh,Gannja,2014-04-01 00:00:00
Setopati,http://setopati.net/society/7523/,2015-07-03 23:00:00,Road between Barpak and Muchok,The buses en route to Gorkha bazaar from Baluwa bazaar of Simjung and buses from Kathmandu were stranded mid-way following the landslip.,Road between Barpak and Muchok,10km,landslide,continuous_rain,small,above_road,0.0,0.0,28.1046,84.66339999999998,Nepal,Gandaki,Chepe Ghat,2015-07-08 18:08:49
The Himalayan Times,http://thehimalayantimes.com/nepal/landslide-claims-one-in-bhojpur/,2015-09-05 00:00:00,Bhojpur,"One died and another sustained critical injuries after they were buried by a landslide in Bhojpur on Saturday.  According to the District Police Office, Bhojpur, the deceased has been identified Nilam Rai (44) of Sangpang-4.",Bhojpur,10km,landslide,unknown,medium,unknown,1.0,1.0,25.4551,84.5322,India,Bihar,Agiaon,2016-06-30 15:36:41
himachal.us,http://himachal.us/2010/09/23/efforts-to-evacuate-tourists-trapped-in-sangla-valley-fail/22265/people/ravinder,2010-09-20 00:00:00,"Kullu village(or district?) below agricultural lands, Himachal Pradesh","Late monsoon rains have left a destruction trail behind in the high altitude tribal district of Kinnaur, in Kullu, Sirmaur and Shimla district with one person losing his life in the city here.  BM Nanta, deputy commissioner Kullu said, said that some houses in village had developed cracks after the adjoining agricultural lands was damaged in a landslide.","Kullu village(or district?) below agricultural lands, Himachal Pradesh",5km,landslide,downpour,medium,unknown,0.0,,31.944,77.1179,India,Himachal Pradesh,Kulu,2014-04-01 00:00:00
Daiji World,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=535692,2018-11-03 13:33:58,"Landslides kills nine-year-old girl in Jammu and Kashmir, India","Landslides triggered by incessant rains closed the strategic Jammu-Srinagar highway. A nine-year-old-girl has died and three of her relatives have been injured in the Rajouri District of Jammu and Kashmir, India.","Jammu-Srinagar highway, Ramban, Jammu & Kashmir, 182148",50km,landslide,continuous_rain,medium,above_road,1.0,3.0,33.25426998,75.20536698999999,India,Jammu and Kashmir,Chaunkri,2020-08-04 13:33:59
The Times of India,http://timesofindia.indiatimes.com/city/chandigarh/jcb-helper-dies-in-landslide/articleshow/57782019.cms,2017-03-22 10:00:00,JCB Helper Dies in Sainj Landslide,"The helper of a JCB machine operator was killed after he was buried alive in a landslide near Sainj, Shimla, on Wednesday morning.  The JCB was involved in constructing a retaining wall when debris from the landslide covered it. Superintendent of police D W Negi said six labourers were working at the construction site when the landslide occurred around 9.40am. ""While the operator and other four labourers managed to jump to safety, the helper could not and died on the spot as heavy load of soil and stones fell on him,"" Negi said.","Sainj, Kullu, Himachal Pradesh",5km,landslide,construction,small,retaining_wall,1.0,,31.77315744,77.30471356999999,India,Himachal Pradesh,Manglaor,2017-09-26 19:32:35
AGU Blogsphere,https://blogs.agu.org/landslideblog/2018/10/09/shongtong-1/,2015-04-16 01:26:39,Mebar Landslide,"Estimated date. Construction on the national highway tunnel caused a mass of rocks to collapse and block the road in Mebar Village, below Barang Village.",Along National Highway 22 near Mebar Village and above Barang Village,10km,landslide,construction,medium,above_road,,,31.49911602,78.22419099000001,India,Himachal Pradesh,Oling,2020-05-30 01:26:40
eKantipur,http://www.ekantipur.com/2014/08/15/top-story/10-people-killed-in-floods-landslides/393604.html,2014-08-14 00:00:00,Shaktikhor-2,"In Chitwan, Renuka Chepang, a 22-year-old pregnant woman, died when a landslide crushed her while working in the field at Shaktikhor-2.",Shaktikhor-2,10km,landslide,rain,medium,deforested_slope,1.0,0.0,27.737,84.60729999999998,Nepal,Narayani,Narayangarh,2014-12-16 18:42:22
Himalayan Times,http://www.thehimalayantimes.com/fullNews.php?headline=Blocked+Lamjung+river+threatens+90+houses&NewsID=384390,2013-07-18 23:00:00,"landslide blocks Khundi Khola, forms lake","Debris falling from a massive landslide have blocked the Khundi Khola in Ghan Pokhara VDC-8, turning the river into a lake as deep as 150 metres and putting 90 houses, including the Khundi police post and the Agriculture Service Centre, at risk. ÒThe ÔlakeÕ is draining out slowly, but the danger remains as it is still raining,Ó said a local. Local authorities have alerted the people about a possible disaster. The Khundi hydropower project has been shut. (2nd article) High alert has been announced in Khudi village and locals are being evacuated to a safer place after landslides blocked the Khudikhola at Ghanpokhara-8 in the remote part of the district. Authorities and locals fear of outburst of a temporary lake that formed after the blockade of the river. It is learnt that there are about 150 houses on the bank of the river downstream. The river was blocked on Thursday night.",Khundi Khola (River) at Ghan Pokhara Vdc-8,25km,landslide,rain,medium,unknown,0.0,,28.33321816,84.33062283000001,Nepal,Gandaki,Ma-hsun-ti Ho,2014-04-01 00:00:00
Pamir Times,http://pamirtimes.net/2015/10/26/earthquake-aftermath-8-killed-20-plus-injured-in-gilgit-baltistan/,2015-10-26 00:00:00,Kohistan,"A car carrying five people of a family was hit by a landslide or rockfall in the Kohistan area. Three of the passengers are reportedly missing, while dead body of one has been recovered from the Indus river. An injured woman present in the car has been shifted to safety, said Shahabuddin Ghauri, a local reporter. The people traveling in the car were residents of Danyore Town of Gilgit district.",Kohistan,unknown,rock_fall,earthquake,unknown,above_road,4.0,1.0,35.2882,73.22419999999998,Pakistan,North-West Frontier,Biaso,2015-12-14 15:18:47
Times of India,http://timesofindia.indiatimes.com/city/kolkata-/Landslides-cut-off-Hills-for-two-hours/articleshow/8907428.cms,2011-06-17 23:00:00,Pankhabari and Rohini routes in Kurseong,"The Hills was cut off for a couple of hours from the rest of the country due to landslides at various places in Kurseong subdivision though there were no reports of loss of life or damage to properties.   Incessant overnight rainfall continued through Saturday morning, barring a few hours of break. On Friday night, landslides hit the Pankhabari and Rohini routes in Kurseong, halting vehicular movement. Electricity poles and trees were uprooted at various places due to the high wind blocking roads. However, the roads were cleared on Saturday for vehicular movement.   ""Vehicular movement via Pankhabari and Rohini in Kurseong were disrupted because of landslides and trees uprooted from last night's rain. But that has been cleared today,"" said Mohan Gandhi, Darjeeling DM. The Kurseong SDO asked schools to remain closed on Saturday because of the high wind and incessant rainfall.",Pankhabari and Rohini routes in Kurseong,5km,landslide,continuous_rain,medium,above_road,0.0,,26.84850975,88.26181744999998,India,West Bengal,Kurseong,2015-11-05 14:08:42
Tribune,http://www.tribuneindia.com/news/jammu-kashmir/landslide-shuts-jammu-kishtwar-highway-3-000-stranded/56664.html,2015-03-21 00:00:00,Chena Bhati in Karara,"More than 3,000 people were stranded after the Jammu-Kishtwar National Highway was closed following a massive landslide at Karara, 25 km from here.",Chena Bhati in Karara,50km,landslide,continuous_rain,medium,above_road,0.0,0.0,33.1754,75.8103,India,Jammu and Kashmir,Shandero,2015-05-28 14:57:13
The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2018-05-07/sub-engineer-killed-in-landslide.html,2018-05-07 11:00:00,Ruwatola-Dhuli Road Construction Site Camp Landslide,"Sub-engineer Narayan Dahal, who was at the road construction site of Ruwatola-Dhuli road of Chainpur-Taklakot road section along the Seti Lokmarga, was at his camp when the landslide occurred and swept him some 100 metres down the road. He died on the spot. The landslide occurred at around 11am this morning and swept the camp where the workers stayed. but did not harm any other workers as they were not at the camp.","Rutatola-Dhuli road of Chainpur-Taklakot road section along the Seti Lokmarga, Rumaili, Talkot Rural Municipality, Bajhang District, Nepal",5km,landslide,downpour,small,engineered_slope,1.0,0.0,29.27910301,80.86335952999998,Nepal,Seti,Dhindi,2018-05-25 15:08:26
The Tribune India,https://www.tribuneindia.com/news/archive/j-k/landslide-blocks-kishtwar-highway-659012,2018-09-25 19:23:59,"Sep 25, 2018 Batote-Kishtwar Landslide","Landslide in the Junglewad area of Doda blocked the Batote-Kishtwar national highway for many hours, with heavy machinery needed to clear the debris.",Junglewad area of Doda,5km,landslide,unknown,medium,above_road,,,33.13498724,75.54505215999998,India,Jammu and Kashmir,Doda,2020-06-19 19:24:00
International The News,"http://www.thenews.com.pk/article-141623-Govt.-officer,-his-daughter-killed-in-Muzaffarabad-landslide#http://www.thenews.com.pk/article-141623-Govt.-officer,-his-daughter-killed-in-Muzaffarabad-landslide",2014-03-19 00:00:00,Lohar Gali,"A landslide at Lohar Gali on Muzaffarabad-Mansehra Highway buried a passing by jeep and killed on board the officer of agriculture department and his daughter, Geo News reported.",Lohar Gali,1km,mudslide,unknown,medium,above_road,2.0,0.0,34.3427,73.4359,Pakistan,Azad Kashmir,Muzaffarabad,2014-08-24 00:00:00
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/239706.html,2017-01-26 00:00:00,"Nachlana, Jammu Srinagar Highway Cut Off by Landslides","All Tehsils including District Headquarter town Ramban remained cut off  with both capitals of the state as heavy rains and snow at Patnitop and Jawahar Tunnel and Banhal intensified on Tuesday, triggering landslides on Jammu Srinagar Highway between Nashri and Banihal sectors. Two-foot fresh snow has accumulated at Jawahar Tunnel and Nowgam Banihal sectors of the highway while landslides took place Nashri, Meher, Seri, Maroog, Nachlana, Pantyal, Battery Chasma and Gangroo .","NH-1A, Nachlana, Banihal, Ramban, Jammu & Kashmir, 182145",1km,landslide,rain,unknown,above_road,0.0,0.0,33.36011691,75.17291043999998,India,Jammu and Kashmir,Gund,2017-10-31 13:49:32
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,2011-07-09 00:00:00,Kedarnath,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Kedarnath,25km,landslide,downpour,medium,unknown,0.0,,30.7331,79.0685,India,Uttaranchal,Gaundar,2014-04-01 00:00:00
Pakistan Kakhuda Hafiz,http://www.pakistankakhudahafiz.com/gilgit-cut-off-due-landsliding-mudflow/,2017-04-22 00:00:00,Landslide closes Karakoram HWY,Landslide at Murtazaabad blocks road,"Murtazaabad, Hunza, Pakistan",1km,landslide,rain,small,above_road,0.0,0.0,36.2806339,74.61062816,Pakistan,Northern Areas,Baltit,2017-07-26 17:55:19
Kathmandu Post,http://kathmandupost.ekantipur.com/news/2015-07-31/beni-darbang-road-obstructed-due-to-landslide.html,2015-07-30 00:00:00,Lampata of Babiyachaur VDC-5,"Likewise, transportation of daily consumables to Darbang bazaar has been affected as result of the landslides, that swept away around 80 meters of road in Lampata, police said.",Lampata of Babiyachaur VDC-5,10km,landslide,monsoon,medium,above_road,0.0,0.0,28.3853,83.4625,Nepal,Dhawalagiri,Bega,2015-11-03 17:42:40
thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Landslide+disrupts+Maldhunga-Beni+road+section&NewsID=295710,2011-07-14 00:00:00,Parbat district,"PARBAT: Maldhunga-Beni road section has been disrupted at Majhphant VDC-2 of Parbat district due to landslide following the incessant rainfall.  The traffic along the road section was disrupted since last night after the landslide mud heaped on the road at Jugedhara of the VDC.  A dozer and police personnel from Paribeni Police Post have been deployed to resume the service, according to Parbat District Police Office.  The long and short distant vehicles have been disrupted in Beni, Myagdi, and Milanchowk of Parbat district.  Meanwhile, Pokhara-Maldhunga road section, which had been disrupting since Thursday night, was partially resumed, said police. ",Parbat district,50km,landslide,downpour,medium,unknown,0.0,,28.178,83.6987,Nepal,Dhawalagiri,Khaldanda,2014-04-01 00:00:00
english.samaylive.com,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,2013-06-16 00:00:00,"Kinnaur District, Himachal Pradesh","Rains lashed large parts of the hill states of Uttarakhand and Himachal Pradesh and flooded parts of Haryana where the water level in the Yamuna rose alarmingly. The tribal Kinnaur district in Himachal Pradesh was the worst hit with nine persons dead in landslides that blocked important roads leaving Chief Minister Virbhadra Singh stranded in Sangla Valley. (2nd article) Five members of a family, including three children, were buried early Monday when boulders fell on their house in Himachal Pradesh's Kinnaur district, police said. The entire Kinnaur district has been experiencing heavy rain for the past two days. Shiva said four people died in various landslide incidents in the district since Sunday.","Kinnaur District, Himachal Pradesh",50km,landslide,downpour,medium,unknown,4.0,,31.5986,78.4384,India,Himachal Pradesh,Burati Thatang,2014-04-01 00:00:00
samaa,http://www.samaa.tv/News25489-Landslides_destroy_houses_in_Hunza_.aspx,2010-09-15 00:00:00,"Nagar, Hunza, Gilgit-Baltistan","16 Sep 10 03:49 PM  HUNZA: Land slides have completely destroyed four houses in district Hunza of Gilgit Baltistan, forcing people to shift to safer places.  According to details, a rift ran through the mountain at village Nagar in district Hunza. Geological experts and relief organizations advised the local population to vacate the area, declaring it dangerous.  Experts said if immediate action was not taken, a situation similar to that of Attabad Lake could develop.  On the other hand, a huge ridge suddenly caved in devouring four houses. However, no loss of life reported.  The locals have started shifting to safer places. SAMAA. (Unsure date: between 14th and 16th)","Nagar, Hunza, Gilgit-Baltistan",5km,landslide,rain,medium,unknown,0.0,,36.2744,74.7249,Pakistan,Northern Areas,Baltit,2014-04-01 00:00:00
news.oneindia,http://news.oneindia.in/2010/09/04/strategicroad-link-cut-off-due-to-landslide-insikkim.html,2010-09-04 00:00:00,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim","Gangtok, Sep.4 (ANI): Incessant rains in the last few weeks have caused extensive landslides in Sikkim, as on Saturday, vehicular traffic on the road connecting Gangtok with Nathu La located along the India-China border came to a standstill due to landslides. Named the Jawaharlal Nehru Marg, the road holds high strategic importance for the movement of troops and their supplies.  It is also viewed as important for cross border trade and tourists who enjoy the rare experience of visiting the Nathu La Pass.  The worst affected spot has been ""the 17th mile"" where the road has been washed away to the extent of around 350 metres.  Reportedly, a gradient has slid down by 50 to 60 metres and a portion of the army barracks was badly damaged by the landslide.","17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",10km,landslide,downpour,medium,unknown,0.0,,27.3702,88.7334,India,Sikkim,Xarsingma,2014-04-01 00:00:00
indiavision,http://www.indiavision.com/news/article/national/88496/,2010-08-05 00:00:00,"Darjeeling district, West Bengal, Toy Train route","Landslide in West Bengal's Darjeeling district caused the roads to cave in, which in turn severely damaged the narrow gauge track on which the famous Toy train runs. Massive landslide occurred due to heavy downpour on Thursday. The landslide has upset all road links from Siliguri to various other places in Darjeeling district such as the hill resort of Darjeeling, Kalimpong, Kurseong and Sukna.","Darjeeling district, West Bengal, Toy Train route",5km,landslide,downpour,medium,unknown,0.0,,27.0366,88.263,India,West Bengal,Darjeeling,2014-04-01 00:00:00
The Tribune,http://www.tribuneindia.com/news/jammu-kashmir/vehicles-stuck-at-nh-44-for-second-day-due-to-landslides/359113.html,2017-02-03 19:00:00,Digdol Landslide Blocks NH-44,"Hundreds of passengers were stranded between Batote and Ramban on NH44 since yesterday morning following landslides at Mehad, 4 km short of Ramban town, and at Digdol.","NH-1A, Banihal, Ramban, Jammu & Kashmir, 182148",1km,landslide,unknown,medium,above_road,0.0,0.0,33.30044087,75.18163117,India,Jammu and Kashmir,Gund,2017-10-25 17:09:33
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,2017-04-16 00:00:00,Multiple rockfalls along Batote-Doda Road,Rockfalls along road force its complete closure in both directions,"Batote-Doda Road, Doda, Jammu & Kashmir, India",10km,rock_fall,rain,small,above_road,0.0,0.0,33.1292173,75.44618905999998,India,Jammu and Kashmir,Doda,2017-07-28 13:34:24
